,saversion,saverest,areasymbol,areaname,lkey,musym,muname,museq,mukey,comppct_r,compname,localphase,slope_r,cokey,hzdept_r,hzdepb_r,ksat_r,sandtotal_r,claytotal_r,silttotal_r,dbthirdbar_r,partdensity,wsatiated_r,chkey
0,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Longmarsh,,1.0,27484721,0.0,5.0,600.0,0.0,0.0,0.0,0.23,1.76,70.0,82085302
1,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Longmarsh,,1.0,27484721,86.0,203.0,92.0,77.0,5.0,18.0,1.55,2.65,39.0,82085301
2,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Longmarsh,,1.0,27484721,48.0,86.0,28.0,67.0,15.0,18.0,1.53,2.65,39.0,82085303
3,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Longmarsh,,1.0,27484721,5.0,48.0,9.0,39.0,17.0,44.0,1.4,2.65,38.0,82085304
4,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Shrewsbury,,1.0,27484722,0.0,17.0,12.0,44.3,19.9,35.8,1.16,2.65,52.0,82085307
5,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Shrewsbury,,1.0,27484722,17.0,23.0,8.0,46.7,19.0,34.3,1.17,2.65,52.0,82085306
6,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Shrewsbury,,1.0,27484722,23.0,71.0,8.0,48.3,33.2,18.5,1.52,2.65,40.0,82085305
7,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,5,Shrewsbury,,1.0,27484722,71.0,208.0,8.0,53.3,25.2,21.5,1.3,2.65,48.0,82085308
8,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,10,Zekiah,,1.0,27484723,89.0,152.0,18.0,36.0,12.0,52.0,1.35,2.65,40.0,82085299
9,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,10,Zekiah,,1.0,27484723,152.0,183.0,18.0,72.0,8.0,20.0,1.45,2.65,42.0,82085297
10,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,10,Zekiah,,1.0,27484723,25.0,89.0,9.0,22.0,14.0,64.0,1.5,2.65,46.0,82085300
11,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,10,Zekiah,,1.0,27484723,0.0,25.0,12.0,48.9,8.6,42.5,1.25,2.65,49.0,82085298
12,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,41,Widewater,,1.0,27484724,20.0,112.0,2.5,40.0,20.0,40.0,1.55,2.65,45.0,82085134
13,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,41,Widewater,,1.0,27484724,0.0,10.0,12.0,40.1,16.6,43.3,1.33,2.65,48.0,82085132
14,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,41,Widewater,,1.0,27484724,112.0,170.0,2.5,43.0,22.0,35.0,1.33,2.65,48.0,82085133
15,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,41,Widewater,,1.0,27484724,10.0,20.0,2.5,57.0,18.0,25.0,1.55,2.65,48.0,82085131
16,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,41,Widewater,,1.0,27484724,170.0,178.0,1.0,20.0,45.0,35.0,1.48,2.65,37.0,82085135
17,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,39,Issue,,1.0,27484725,76.0,147.0,42.0,71.6,8.0,20.4,1.45,2.65,43.0,82085128
18,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,39,Issue,,1.0,27484725,147.0,178.0,9.0,33.7,16.2,50.1,1.2,2.65,51.0,82085126
19,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,39,Issue,,1.0,27484725,48.0,76.0,9.0,69.8,9.9,20.3,1.45,2.65,43.0,82085127
20,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,39,Issue,,1.0,27484725,10.0,48.0,9.0,27.6,25.0,47.4,1.45,2.65,42.0,82085129
21,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,WBA,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded",135,137713,39,Issue,,1.0,27484725,0.0,10.0,9.2,24.0,15.4,60.6,1.33,2.65,40.0,82085130
22,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,15,Adelphia,,4.0,27484233,56.0,119.0,9.0,47.0,20.0,33.0,1.6,2.65,38.0,82084212
23,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,15,Adelphia,,4.0,27484233,3.0,48.0,78.0,82.0,8.0,10.0,1.5,2.65,40.0,82084210
24,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,15,Adelphia,,4.0,27484233,48.0,56.0,23.0,76.0,15.0,9.0,1.6,2.65,38.0,82084211
25,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,15,Adelphia,,4.0,27484233,119.0,180.0,9.0,73.0,15.0,12.0,1.6,2.65,36.0,82084213
26,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,15,Adelphia,,4.0,27484233,180.0,203.0,23.0,70.0,10.0,20.0,1.6,2.65,38.0,82084214
27,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,15,Adelphia,,4.0,27484233,0.0,3.0,28.0,66.9,10.0,23.1,1.5,2.65,39.0,82084215
28,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,35,Wist,,4.0,27484234,43.0,104.0,22.0,60.0,24.8,15.2,1.44,2.65,,82084218
29,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,35,Wist,,4.0,27484234,0.0,33.0,28.0,74.4,9.6,16.0,1.58,2.65,37.0,82084216
30,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,35,Wist,,4.0,27484234,104.0,208.0,28.0,70.3,13.3,16.4,1.26,2.65,47.0,82084219
31,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,35,Wist,,4.0,27484234,33.0,43.0,28.0,66.3,12.6,21.1,1.4,2.65,43.0,82084217
32,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,50,Collington,,4.0,27484235,25.0,86.0,4.23,60.6,21.8,17.6,1.41,2.65,44.0,82084222
33,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,50,Collington,,4.0,27484235,0.0,25.0,28.0,75.5,15.8,8.7,1.57,2.65,38.0,82084221
34,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoB,"Collington-Wist complex, 2 to 5 percent slopes",28,137737,50,Collington,,4.0,27484235,86.0,183.0,4.23,72.6,17.9,9.5,1.47,2.65,42.0,82084220
35,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,5,Tinton,,8.0,27484236,,,,,,,,,,-1
36,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,15,Adelphia,,8.0,27484237,56.0,119.0,9.0,47.0,20.0,33.0,1.6,2.65,38.0,82084225
37,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,15,Adelphia,,8.0,27484237,3.0,48.0,78.0,82.0,8.0,10.0,1.5,2.65,40.0,82084223
38,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,15,Adelphia,,8.0,27484237,48.0,56.0,23.0,76.0,15.0,9.0,1.6,2.65,38.0,82084224
39,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,15,Adelphia,,8.0,27484237,119.0,180.0,9.0,73.0,15.0,12.0,1.6,2.65,36.0,82084226
40,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,15,Adelphia,,8.0,27484237,180.0,203.0,23.0,70.0,10.0,20.0,1.6,2.65,38.0,82084228
41,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,15,Adelphia,,8.0,27484237,0.0,3.0,28.0,66.9,10.0,23.1,1.5,2.65,39.0,82084227
42,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,35,Wist,,8.0,27484238,43.0,104.0,22.0,60.0,24.8,15.2,1.44,2.65,,82084231
43,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,35,Wist,,8.0,27484238,0.0,33.0,28.0,74.4,9.6,16.0,1.58,2.65,37.0,82084229
44,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,35,Wist,,8.0,27484238,104.0,208.0,28.0,70.3,13.3,16.4,1.26,2.65,47.0,82084232
45,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,35,Wist,,8.0,27484238,33.0,43.0,28.0,66.3,12.6,21.1,1.4,2.65,43.0,82084230
46,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,45,Collington,,8.0,27484239,25.0,86.0,4.23,60.6,21.8,17.6,1.41,2.65,44.0,82084235
47,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,45,Collington,,8.0,27484239,0.0,25.0,28.0,75.5,15.8,8.7,1.57,2.65,38.0,82084234
48,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,CoC,"Collington-Wist complex, 5 to 10 percent slopes",29,137738,45,Collington,,8.0,27484239,86.0,183.0,4.23,72.6,17.9,9.5,1.47,2.65,42.0,82084233
49,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Mattapex,,1.0,27484290,18.0,33.0,2.7,20.0,13.0,67.0,1.6,2.65,48.0,82084397
50,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Mattapex,,1.0,27484290,81.0,107.0,0.91,25.0,21.0,54.0,1.6,,46.0,82084401
51,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Mattapex,,1.0,27484290,5.0,18.0,2.7,20.0,13.0,67.0,1.6,2.65,48.0,82084400
52,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Mattapex,,1.0,27484290,33.0,81.0,0.91,20.0,25.0,55.0,1.6,2.65,46.0,82084399
53,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Mattapex,,1.0,27484290,107.0,203.0,28.2,75.0,9.0,16.0,1.75,2.65,39.0,82084402
54,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Mattapex,,1.0,27484290,0.0,5.0,9.0,24.0,15.4,60.6,1.33,2.65,48.0,82084398
55,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Cumberstone,,1.0,27484291,58.0,84.0,2.2,16.4,16.9,66.7,1.5,2.65,43.0,82084407
56,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Cumberstone,,1.0,27484291,84.0,137.0,2.0,25.9,38.8,35.3,1.45,2.65,41.0,82084406
57,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Cumberstone,,1.0,27484291,157.0,183.0,7.7,47.6,36.9,15.5,1.4,2.65,42.0,82084408
58,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Cumberstone,,1.0,27484291,137.0,157.0,2.2,42.2,40.6,17.2,1.4,2.65,42.0,82084404
59,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Cumberstone,,1.0,27484291,0.0,23.0,9.0,24.2,21.7,54.1,1.33,2.65,45.0,82084405
60,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,10,Cumberstone,,1.0,27484291,23.0,58.0,2.2,14.9,33.6,51.5,1.5,2.65,43.0,82084403
61,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,74.0,89.0,5.0,25.5,26.6,47.9,1.5,2.65,41.0,82084411
62,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,89.0,132.0,9.0,33.1,26.9,40.0,1.5,2.65,41.0,82084412
63,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,147.0,180.0,28.0,71.4,17.7,10.9,1.55,2.65,39.0,82084413
64,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,180.0,191.0,28.0,70.6,18.4,11.0,1.55,2.65,39.0,82084414
65,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,23.0,74.0,9.0,6.5,25.8,67.7,1.5,2.65,41.0,82084409
66,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,0.0,23.0,9.0,11.6,18.0,70.4,1.33,2.65,45.0,82084415
67,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,35,Shadyoak,,1.0,27484292,132.0,147.0,9.0,46.2,23.6,30.2,1.5,2.65,41.0,82084410
68,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,127.0,155.0,0.9,6.3,47.4,46.3,1.3,2.65,42.0,82084420
69,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,155.0,183.0,0.9,21.2,42.7,36.1,1.36,2.65,45.0,82084421
70,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,91.0,117.0,3.0,12.2,26.0,61.8,1.44,2.65,41.0,82084418
71,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,20.0,81.0,3.0,22.2,30.0,47.8,1.48,2.65,43.0,82084422
72,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,117.0,127.0,28.0,72.8,11.4,15.8,1.64,2.65,39.0,82084419
73,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,81.0,91.0,9.0,61.8,16.9,21.3,1.54,2.65,39.0,82084417
74,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DcA,"Deale-Shadyoak complex, 0 to 2 percent slopes",41,137750,45,Deale,,1.0,27484293,0.0,20.0,9.0,23.7,16.6,59.7,1.46,2.65,45.0,82084416
75,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,10,fine-loamy Aquic Paleudults,,,27484301,,,,,,,,,,-1
76,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,10,Marr,,3.0,27484302,64.0,145.0,9.0,69.9,21.6,8.5,1.51,,38.0,82084446
77,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,10,Marr,,3.0,27484302,145.0,193.0,28.0,84.3,9.8,5.9,1.5,,40.0,82084448
78,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,10,Marr,,3.0,27484302,30.0,64.0,9.0,52.5,16.3,31.2,1.6,,38.0,82084445
79,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,10,Marr,,3.0,27484302,0.0,30.0,28.0,66.9,10.0,23.1,1.5,,39.0,82084447
80,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,80,Dodon,,3.0,27484303,119.0,185.0,15.0,47.1,16.0,36.9,1.49,,42.0,82084451
81,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,80,Dodon,,3.0,27484303,41.0,119.0,8.0,49.7,21.1,29.2,1.55,,41.0,82084452
82,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,80,Dodon,,3.0,27484303,13.0,41.0,9.0,55.2,10.3,34.5,1.5,,39.0,82084450
83,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,DfB,"Dodon very fine sandy loam, 2 to 5 percent slopes",44,137753,80,Dodon,,3.0,27484303,0.0,13.0,9.0,56.7,9.3,34.0,1.45,,39.0,82084449
84,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Hambrook,,3.0,27484440,140.0,183.0,77.63,75.0,7.0,18.0,1.55,2.65,31.0,82084762
85,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Hambrook,,3.0,27484440,5.0,25.0,23.29,60.0,14.0,26.0,1.55,2.65,39.0,82084758
86,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Hambrook,,3.0,27484440,104.0,140.0,77.63,71.0,6.0,23.0,1.55,2.65,37.0,82084761
87,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Hambrook,,3.0,27484440,25.0,46.0,9.17,62.0,18.0,20.0,1.53,2.65,40.0,82084759
88,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Hambrook,,3.0,27484440,46.0,104.0,2.33,48.0,27.0,25.0,1.6,2.65,39.0,82084760
89,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Hambrook,,3.0,27484440,0.0,5.0,23.29,65.4,15.0,19.6,1.33,2.65,45.0,82084757
90,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Liverpool,,3.0,27484441,13.0,33.0,8.0,22.6,19.8,57.6,1.54,2.65,39.0,82084763
91,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Liverpool,,3.0,27484441,33.0,89.0,0.91,21.6,34.6,43.8,1.63,2.65,36.0,82084765
92,24,9/9/2025 12:18:18 PM,MD003,"Anne Arundel County, Maryland",10950,MaB,"Marr-Dodon complex, 2 to 5 percent slopes",72,137788,10,Liverpool,,3.0,27484441,89.0,163.0,0.91,54.8,24.7,20.5,1.75,2.65,32.0,82084764
